ID;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
917;black currants;71;5;19;81;2;172;0;16;0;0;75;918;0;10;0;0;96;3;4;16;2027;0;11;0;616;15;17;269;3;661;3606;0;3;2853
918;plantain cooked;179;3;1;20;52;48;216;12;35;0;79;1036;0;64;5;0;36;12;4;4;168;0;2;24;31;1;9;493;0;431;7161;87;2;738
919;crab apple;84;3;64;22;18;219;0;4;0;0;30;868;0;55;0;0;77;1;0;0;88;0;0;0;198;69;4;77;1;165;2134;0;0;516
920;pom potes materne;19;2;2;48;38;2;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
921;apple;95;3;43;2;94;251;189;5;44;0;62;1557;0;0;94;30;0;84;2;1;30;84;0;3;44;109;86;2;91;10;20;1947;0;30438
922;cantaloupe melon;60;3;71;79;1;144;139;15;16;0;87;1596;0;0;51;13;0;98;13;2;1;65;0;15;28;159;18;4;212;64;266;4726;82;17939
923;prickly pear cooked;7;43;0;0;0;16;0;91;0;0;0;57;0;35;0;0;27;95;0;93;5;0;0;0;0;0;0;0;0;0;0;0;0;2226
924;guava;37;5;1;54;2;79;49;14;3;0;56;444;0;0;52;7;0;49;6;2;69;1256;0;4;19;99;1;1;121;20;22;2294;78;12956
925;strawberries;4;69;57;60;36;9;6;10;2;0;68;109;0;63;12;0;26;52;97;92;71;0;79;62;19;89;40;16;83;29;184;27;91;10261
926;japanese persimmon dried;93;2;0;0;0;25;0;5;49;0;2;78;0;0;0;0;53;19;0;0;0;0;0;0;85;2;3;105;5;275;2727;0;1;394
927;watermelon;86;4;26;1;1;216;177;17;11;0;43;2615;0;0;89;70;0;37;5;6;1;232;0;1;16;20;1;7;286;1;315;3203;89;25025
928;elderberries;106;7;5;1;4;267;0;1;102;0;42;1157;0;1;41;0;61;7;2;3;522;0;0;0;551;47;23;73;0;566;406;97;2;1482
929;kumquat;13;2;63;37;42;3;18;4;12;0;18;154;0;0;42;87;0;78;46;77;13;83;0;20;0;118;92;2;38;52;36;353;0;4882
930;orange peel;6;17;46;73;70;15;0;93;6;0;23;44;0;63;3;0;19;18;30;75;82;0;39;0;97;95;97;13;0;13;127;48;12;20111
931;pokeberry shoots cooked;33;7;0;0;0;51;26;38;25;0;4;1533;0;1;5;0;4;18;74;2;1353;0;14;2;875;2;2;231;6;545;3036;20;3;2369
932;breadfruit;227;5;1;50;1;597;242;24;108;0;57;1554;0;0;2;70;0;31;2;1;2;638;0;2;45;374;2;12;55;1;66;107800;8;73872
933;pear;101;2;19;1;2;271;174;6;55;0;70;1494;0;63;5;0;72;3;35;79;77;0;2;22;16;1;3;125;82;214;2065;51;2;574
934;sour cherries;52;3;69;23;90;125;87;1;16;0;71;887;0;0;25;26;0;79;4;1;53;103;0;12;20;165;1;3;93;1;155;1782;0;15607
935;plantain raw;218;6;3;2;1;571;313;23;3;0;82;1167;1;1;2;0;1;12;5;4;329;0;3;10;54;1;1;644;0;573;8717;68;3;1024
936;blackberries frozen;97;6;17;6;4;237;161;18;76;0;7;1241;0;70;1;0;68;18;2;0;47;0;18;100;438;2;12;332;18;453;2114;27;4;834
937;cherries;5;56;53;93;47;13;1;68;2;0;0;66;0;0;71;63;0;11;52;83;79;6;0;5;53;1;26;15;9;4;17;178;0;1715
938;plantain fried;16;6;2;2;1;26;2;23;2;0;65;19;0;84;59;0;99;25;81;23;2;0;0;0;2;28;39;31;96;23;255;0;44;385
939;carambola starfruit;26;3;77;10;2;57;34;9;24;0;47;777;0;0;44;21;0;49;3;3;39;292;0;1;0;26;1;56;85;34;102;1131;45;9403
940;chayote cooked;35;8;1;0;0;72;0;1;45;0;4;1495;0;40;26;0;30;7;7;2;128;0;0;0;208;2;4;192;3;464;2768;63;5;475
941;apple dippers mcdonalds;33;0;0;0;0;82;63;0;0;0;0;595;88;0;0;0;0;0;0;0;1884;0;1;0;422;0;21;0;0;0;0;0;0;238864
942;white grapefruit;78;2;72;36;32;198;173;16;26;0;0;2135;0;31;98;0;45;6;7;1;786;0;3;0;283;1;1;212;47;189;3493;13;2;1312
943;cherimoya;176;16;5;1;4;416;302;37;71;0;61;1866;0;0;2;34;0;3;15;8;6;296;0;6;0;235;2;6;40;2;611;6745;0;548
944;melon balls;57;4;1;32;2;137;0;15;12;0;22;1561;0;3;81;0;84;11;3;2;107;0;0;0;173;1;5;242;80;208;4844;0;3;453
945;golden delicious apple;62;2;0;0;0;148;109;3;26;0;34;935;0;0;94;61;0;17;1;63;38;0;0;2;43;65;35;1;55;50;109;109;0;18014
