Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
192;192;sunflower seeds toasted;829;761;8;145;503;276;0;231;154;0;8;13;0;4;3;0;4;56;95;11;19;0;0;0;764;25;91;1729;28;155170;6579;66;71;2296
193;193;sisymbrium seeds;235;34;7;11;15;431;0;9;0;0;47;45;0;1;72;0;3;125;7;6;227;0;0;0;120840;52;98;2324;11;44;157620;0;2;1286643
194;194;breadnut tree seeds dried;587;27;7;3;14;127;0;138;238;0;91;104;0;40;2;0;2;34;3;11;746;0;0;0;1504;39;74;184;5;2848;321760;11;31;3997
195;195;pecans raw;753;784;67;445;236;151;43;10;105;0;0;38;0;7;19;0;1;13;9;2;12;0;15;33;763;13;28;1319;49;3019;4469;39;49;1943
196;196;chia seeds dried;138;87;9;7;67;119;0;47;97;0;47;16;0;2;98;0;80;25;0;0;5;0;1;0;1786;3;22;948;8;2434;1152;35;13;2163
197;197;japanese chestnuts roasted;57;2;80;1;94;128;0;8;0;0;79;141;0;1;22;0;0;2;1;1;79;0;0;0;99;2;6;181;6;263;1208;0;4;322
198;198;sesame seeds toasted;45;38;5;15;17;21;0;14;11;0;70;3;0;84;75;0;22;4;74;2;0;0;0;0;791;2;12;285;2;51;38;30;6;887
199;199;cashew nuts roasted;174;143;25;78;26;9;15;51;1;0;91;7;0;1;80;0;25;5;3;56;71;0;3;41;129;6;18;819;5;1593;1896;20;16;4412
200;200;lupins raw;668;175;21;71;44;727;0;651;34;0;9;188;0;12;6;0;4;39;14;6;86;0;0;0;3168;18;78;3564;43;792;182340;90;86;5225
201;201;mustard seeds ground;10;7;12;5;2;6;1;5;2;0;17;1;0;72;93;0;20;93;18;0;1;0;1;86;53;55;2;74;78;166;148;3;1;76
