Column1;Unnamed: 0;food;Caloric Value;Fat;Saturated Fats;Monounsaturated Fats;Polyunsaturated Fats;Carbohydrates;Sugars;Protein;Dietary Fiber;Cholesterol;Sodium;Water;Vitamin A;Vitamin B1;Vitamin B11;Vitamin B12;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Calcium;Copper;Iron;Magnesium;Manganese;Phosphorus;Potassium;Selenium;Zinc;Nutrition Density
271;271;cattail;5;0;0;0;0;1;74;2;9;0;31;176;0;75;5;0;54;82;89;12;1;0;0;21;103;30;2;12;1;86;587;91;64;127
272;272;peanut granola bar;116;57;8;17;29;15;82;24;7;0;6;6;62;6;10;0;8;5;1;23;12;0;13;95;98;20;6;132;3;334;698;61;3;34218
273;273;vanilla bluberry bar kind;49;14;84;25;7;9;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
274;274;coconut granola bar;150;91;64;14;9;156;97;15;18;0;6;17;0;41;8;53;64;1;0;56;1;0;19;72;119;45;5;158;0;436;719;53;3;405
275;275;almond granola bar;119;61;3;19;9;149;0;18;12;0;67;7;0;31;9;0;0;1;1;77;0;0;0;0;77;17;6;194;3;547;655;60;4;323
276;276;chocolate chip granola bar;105;39;27;6;3;173;0;18;11;0;62;6;0;76;14;0;71;1;1;57;100;0;0;0;185;8;7;173;4;49;602;18;5;4338
277;277;fruit granola bar;82;2;34;32;93;186;133;14;18;0;28;33;0;6;7;2;9;34;0;4;4;0;71;99;7;3;1;12;0;293;528;52;3;241
278;278;granola bar;99;42;5;9;25;135;6;21;11;0;84;8;0;59;11;0;61;3;2;3;2;0;4;22;128;81;6;204;4;582;706;27;4;345
279;279;peanut bar;209;135;19;67;43;19;169;62;16;0;59;6;0;51;42;0;93;32;3;89;0;0;16;0;312;3;4;44;5;1232;1628;43;16;719
280;280;milk cereal bar;103;27;23;3;10;18;115;16;1;15;87;22;85;2;94;46;2;2;1;2;39;27;1;2;1025;28;15;53;55;388;635;41;2;130334
281;281;almond rice bar;128;57;11;21;22;181;0;2;1;0;0;19;0;4;0;0;4;49;2;5;32;0;0;0;207;57;18;199;4;468;641;0;15;525
282;282;fruit nut squares;55;13;1;2;1;103;64;3;3;0;86;19;0;33;21;0;14;8;99;49;65;0;4;68;24;54;1;35;52;76;115;68;34;14762
